key,x,y,z,half,arm,requested_mode,used_mode,point_in_danger,candidate_goal_count,success,label,best_cost,safe_goal_count,fallback_goal_count
0.000_-0.500_0.560,0.0,-0.5,0.56,lower,R,auto,free,True,15,True,fallback,0.7202162633979245,0,15
0.000_-0.400_0.560,0.0,-0.4,0.56,lower,L,auto,free,True,21,True,fallback,2.2783451865997564,0,21
0.000_-0.400_0.560,0.0,-0.4,0.56,lower,R,auto,free,True,22,True,fallback,0.7257183491875647,0,22
0.000_-0.300_0.560,0.0,-0.3,0.56,lower,L,auto,free,True,27,True,fallback,1.579210190672434,0,27
0.000_-0.300_0.560,0.0,-0.3,0.56,lower,R,auto,free,True,30,True,fallback,0.5687965274001967,0,30
0.000_0.300_0.560,0.0,0.3,0.56,upper,L,auto,free,True,30,True,fallback,0.45349970839349485,0,30
0.000_0.300_0.560,0.0,0.3,0.56,upper,R,auto,free,True,26,True,fallback,1.5707813837595808,0,26
0.000_0.400_0.560,0.0,0.4,0.56,upper,L,auto,free,True,22,True,fallback,0.8535786728700905,0,22
0.000_0.400_0.560,0.0,0.4,0.56,upper,R,auto,free,True,21,True,fallback,1.882102477336081,0,21
0.000_0.500_0.560,0.0,0.5,0.56,upper,L,auto,free,True,16,True,fallback,0.7202162858571852,0,16
0.000_0.500_0.560,0.0,0.5,0.56,upper,R,auto,free,True,6,True,fallback,2.626061407415853,0,6
0.100_-0.500_0.560,0.1,-0.5,0.56,lower,L,auto,free,False,0,False,unplanned,,0,0
0.100_-0.500_0.560,0.1,-0.5,0.56,lower,R,auto,safe,False,7,True,safe,1.3563856660175888,7,14
0.100_-0.400_0.560,0.1,-0.4,0.56,lower,L,auto,free,True,9,True,fallback,2.180703257995698,0,9
0.100_-0.400_0.560,0.1,-0.4,0.56,lower,R,auto,free,True,30,True,fallback,0.6030394175682798,0,30
0.100_-0.300_0.560,0.1,-0.3,0.56,lower,L,auto,free,True,15,True,fallback,1.6125690239056882,0,15
